"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@RodneyDavis @SteveScalise @RepShimkus @RepBost he should make sure to mention that he has excellent health insuran… https://t.co/HS1qsPZQtI",FALSE,0,"RodneyDavis",2019-04-25 14:51:04,TRUE,"1121423679609552896","1121426404242071553","993153006","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","indivisibleWon",0,FALSE,FALSE,NA,NA
"RT @CU_Indivisible: Look, it's @RodneyDavis pretending he's representing all of us by holding ""open"" office hours during the workday for a…",FALSE,0,NA,2019-04-25 14:49:36,FALSE,NA,"1121426034216308736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IndivisibleSPI",13,TRUE,FALSE,NA,NA
"@Tbone295 @funnygirlescope @RodneyDavis @BetsyforIL I'll take ""Things Rodney Davis has nothing to do with"" for 1000 Alex.",FALSE,0,"Tbone295",2019-04-25 14:48:15,FALSE,"1121079056416612353","1121425693328445441","38941663","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TakeTheirSouls",0,FALSE,FALSE,NA,NA
"@RodneyDavis @SteveScalise @RepShimkus @RepBost Ya know, there are tons of survivors of gun violence you could talk… https://t.co/kUZluMxfgm",FALSE,0,"RodneyDavis",2019-04-25 14:42:32,TRUE,"1121423679609552896","1121424258629099523","993153006","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DailyLibber",0,FALSE,FALSE,NA,NA
".@RodneyDavis's ""office hours"" in Carlinville were 8:30-10 a.m. on a weekday. How many working folks can do that? N… https://t.co/yj8zAZbhP1",FALSE,1,NA,2019-04-25 14:33:24,TRUE,NA,"1121421959110234113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hineni_CU",0,FALSE,FALSE,NA,NA
"@funnygirlescope @RodneyDavis I agree which is why we should take back the term ""pro-life"" because Republicans aren… https://t.co/fCvMrN0J1o",FALSE,2,"funnygirlescope",2019-04-25 14:32:37,TRUE,"1121418305401753603","1121421760765861891","16701609","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_GreatBike_",0,FALSE,FALSE,NA,NA
"RT @funnygirlescope: @RodneyDavis wow, a real Representative who is not name calling or afraid of her Constituents with open, free and anno…",FALSE,0,NA,2019-04-25 14:29:11,FALSE,NA,"1121420895715827712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hineni_CU",1,TRUE,FALSE,NA,NA
"RT @_GreatBike_: I see, @RodneyDavis, so when it's a Democrat accused of dodging taxes, you'll push for an investigation but if it's a Repu…",FALSE,0,NA,2019-04-25 14:27:27,FALSE,NA,"1121420459248168960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hineni_CU",2,TRUE,FALSE,NA,NA
"@funnygirlescope @RodneyDavis He sneaks into CU for unannounced “news conferences” and photo ops at the university… https://t.co/nOi3wGr5Dj",FALSE,1,"funnygirlescope",2019-04-25 14:26:17,TRUE,"1121406051730034688","1121420168683454466","16701609","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichaelLillich",0,FALSE,FALSE,NA,NA
"He and FB blocker @RodneyDavis must be twins--@RepPeteKing's also too scared to hold town halls! 🤣… https://t.co/U2v4p7aAkO",FALSE,0,NA,2019-04-25 14:26:08,TRUE,NA,"1121420131370926080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hineni_CU",0,FALSE,FALSE,NA,NA
"@RodneyDavis It’s a pyramid sales scheme, just like Amway.",FALSE,0,"RodneyDavis",2019-04-25 14:20:07,FALSE,"1121138245004349440","1121418615100706822","993153006","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FranksUpperLip",0,FALSE,FALSE,NA,NA
"Seems @RodneyDavis hasn't botheed to read the entire Mueller report, according to an interview with the Spfld Journ… https://t.co/U2cu13TYQ4",FALSE,0,NA,2019-04-25 14:19:42,TRUE,NA,"1121418511270723584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hineni_CU",0,FALSE,FALSE,NA,NA
"@_GreatBike_ @RodneyDavis https://t.co/Nq0iSblRWY",FALSE,3,"_GreatBike_",2019-04-25 14:18:53,FALSE,"1121416369340342272","1121418305401753603","93801030","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","funnygirlescope",0,FALSE,FALSE,NA,NA
"@Tbone295 @RodneyDavis @BetsyforIL Me too, let's hope her early start will enable her to do so",FALSE,1,"Tbone295",2019-04-25 14:18:15,FALSE,"1121417954552418307","1121418143606476800","38941663","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","funnygirlescope",0,FALSE,FALSE,NA,NA
"@RodneyDavis How much are they donating?",FALSE,0,"RodneyDavis",2019-04-25 14:17:45,FALSE,"1121138245004349440","1121418021015154688","993153006","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FranksUpperLip",0,FALSE,FALSE,NA,NA
"@funnygirlescope @RodneyDavis I think @BetsyforIL can beat him if she is able to have a townhall in every rural tow… https://t.co/Te4RjTAGjS",FALSE,1,"funnygirlescope",2019-04-25 14:17:29,TRUE,"1121412846888390658","1121417954552418307","16701609","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tbone295",0,FALSE,FALSE,NA,NA
"RT @_GreatBike_: @RodneyDavis, I'm fine with Pritzker being investigated because our elected officials should be held accountable but to me…",FALSE,0,NA,2019-04-25 14:12:15,FALSE,NA,"1121416634466537474",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CindyMundell",1,TRUE,FALSE,NA,NA
"We should hold a pro-life rally outside this ""prayer breakfast"" to protest @RodneyDavis' immoral refusal to pass gu… https://t.co/Qt6XKKX8CD",FALSE,3,NA,2019-04-25 14:11:12,TRUE,NA,"1121416369340342272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_GreatBike_",0,FALSE,FALSE,NA,NA
"@RodneyDavis That’s ridiculous! You refuse to hold town hall meetings which would really allow constituents to have… https://t.co/RE8PW2TiRg",FALSE,0,"RodneyDavis",2019-04-25 14:04:22,TRUE,"1121107519357714433","1121414652368437248","993153006","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sydnick1",0,FALSE,FALSE,NA,NA
"That's it!  That is exactly it!!  @RodneyDavis is a coward.  #UnseatDavis2020 https://t.co/kXcGr8l447",FALSE,1,NA,2019-04-25 14:03:18,FALSE,NA,"1121414384851542017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tristan1949",0,FALSE,FALSE,NA,NA
"@RodneyDavis, I'm fine with Pritzker being investigated because our elected officials should be held accountable bu… https://t.co/kXL4CeZqGo",FALSE,2,"_GreatBike_",2019-04-25 14:02:15,TRUE,"1121411128343638016","1121414119603757056","93801030","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_GreatBike_",1,FALSE,FALSE,NA,NA
"@RodneyDavis wow, a real Representative who is not name calling or afraid of her Constituents with open, free and a… https://t.co/C5yBbVXfSu",FALSE,2,"RodneyDavis",2019-04-25 13:57:12,TRUE,NA,"1121412846888390658","993153006","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","funnygirlescope",1,FALSE,FALSE,NA,NA
